Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,Column 1,Column 2
12/21/2025,006649-25PA,Building & Land Use Pre-Application,In Process,5226   SW  DAKOTA  ST   SEATTLE,Detached Garage Construction,"In back yard, build new pole building style garage over new concrete slab. Rough dimensions 24x36x12. Install power at garage.",,,
12/20/2025,006645-25PA,Building & Land Use Pre-Application,Initiated,9860    RAINIER  AVE  S  SEATTLE,,"TO REMOVE AND RESTORE VEGETATION AT S COOPER ST per SDOT permit SUSIP0000838, SUPSM0009178, SUPSM0009116, for the Shoreline Street End Uses of 9860 Rainier Ave S (Prior work done by previous owner)",,,
12/19/2025,006629-25PA,Building & Land Use Pre-Application,In Process,9337    BEACON  AVE  S  SEATTLE,,construct 1 SFR and 2 ADU,,,
12/19/2025,006640-25PA,Building & Land Use Pre-Application,In Process,6413   NE  WINDERMERE  RD,Pickledock site restoration,Unpermitted grading was started on the site and code compliance violation has been filed (014061-25CP). The proposed project will restore the disturbed area to the state prior to the excavation and grading activities.,,,
12/19/2025,006626-25PA,Building & Land Use Pre-Application,Completed,42   W  DRAVUS  ST   SEATTLE,,Remove one of two dwelling units on the site and associated hardscape. Removal of second dwelling unit under separate permit (7110663-DM).,,,
12/19/2025,006625-25PA,Building & Land Use Pre-Application,In Process,9322    STONE  AVE  N  SEATTLE,,demo per plan,,,
12/19/2025,006636-25PA,Building & Land Use Pre-Application,Initiated,5901    EAST MARGINAL  WAY  S  SEATTLE,New Inventory Overhead Door,"To expand where an existing overhead door is on the south side of the building to a larger 16' x 16' overhead door to allow for inventory movement between the gypsum plant, (located next door at 5931 E Marginal Way S) into and out of the warhouse that is now being leased for this purpose.  This increased inventory space will have huge positive impacts for the gypsum plant operations, and is critical to the success of an upcoming 2 week extended outage in April 2026.  The plant will need at least 1 month minimum prior to mid April with the door fully functional to produce ~10 million sq. ft. of board to fill the new warehouse with to cover the inventory needs of the plant while production is down for major capital upgrades.A fully stamped set of engineering drawings for the new door are in progress, and will be uploaded when ready.Please note I am not sure what building code is correct.  I tried to search online for the answer but did not find one that could answer which code to input into this application.  This is my first application.",,,
12/19/2025,006634-25PA,Building & Land Use Pre-Application,In Process,5521    34TH  AVE  NE  SEATTLE,5521 DADU,25-0274 LeibyConstruct new 1000 sq ft detached accessory dwelling unit with attached garage.,,,
12/19/2025,006630-25PA,Building & Land Use Pre-Application,In Process,9335    Beacon  AVE  S,,construct (1) SFR and (2) ADU,,,
12/18/2025,006612-25PA,Building & Land Use Pre-Application,Withdrawn,1250   S  CLOVERDALE  ST   SEATTLE,Burrito Express,Permanent use permit for food truck,,,
12/18/2025,006621-25PA,Building & Land Use Pre-Application,Withdrawn,9101    30th  AVE  NE,9101 construction,"Removal of existing interior wall. Install new engineered beam and supports per approved structural plans. No change to building footprint, height, or use.",,,
12/18/2025,006619-25PA,Building & Land Use Pre-Application,Initiated,6711    Fremont  AVE  N,#324 SOMASUNDARAM BASEMENT CONVERSION TO LIVING,THIS PROJECT IS BASEMENT CONVERSION TO LIVING,,,
12/18/2025,006602-25PA,Building & Land Use Pre-Application,In Process,645   NW  75TH  ST   SEATTLE,,"REMOVE EXISTING STRUCTURES. CONSTRUCT 4 NEW SINGLE FAMILY HOMES WITH SURFACE AND GARAGE PARKING, PER PLAN.",,,
12/18/2025,006607-25PA,Building & Land Use Pre-Application,Completed,4620   S  FINDLAY  ST   SEATTLE,MLM Classroom,Construct new wall subdividing existing classroom in two.,,,
12/18/2025,006605-25PA,Building & Land Use Pre-Application,In Process,1216   NE  77TH  ST,JRJ DADU NE 77TH,CONSTRUCT ONE NEW DADU AND OCCUPY PER PLAN,,,
12/18/2025,006614-25PA,Building & Land Use Pre-Application,In Process,2303   NE  95TH  ST   SEATTLE,2 New DADUs,Construct (2) new DADUs. No change to existing SFR.,,,
12/18/2025,006606-25PA,Building & Land Use Pre-Application,Additional Info Requested,10744    35TH  AVE  NE  SEATTLE,Stuart Fluharty,We want to convert a duplex into a childcare center. We need to do a change of occupancy to i4. No construction/electrical/plumbing is needed.,,,
12/18/2025,006616-25PA,Building & Land Use Pre-Application,Additional Info Requested,119    23RD  AVE   SEATTLE,CAYA - Pre App,"CONSTRUCT NEW 4-STORY+BASEMENT MIXED-USE STACKED FLAT BUILDING WITH 37 RESIDENTIAL UNITS, BELOW-GRADE PARKING AND UTILITIES, AND STREET-LEVEL AND ALLEY-LEVEL COMMERCIAL SPACES. EXISTING BUILDINGS ON PROJECT SITE TO BE DEMOLISHED.",,,
12/18/2025,006611-25PA,Building & Land Use Pre-Application,In Process,7003    40TH  AVE  NE,JRJ DADU 7003,CONVERT EXISTING DETACHED GARAGE INTO A DADU.,,,
12/18/2025,006613-25PA,Building & Land Use Pre-Application,Additional Info Requested,5262    18TH  AVE  SW  SEATTLE,18th Ave SW 3DU,5262 was recently approved short subdivision under #3042302-LUSouth lot in for bldg permit under #7049767-CNNeed new CN number for north lot.North lot to include 3 new dwelling units.PASV already completed for the master parcel,,,
12/17/2025,006598-25PA,Building & Land Use Pre-Application,In Process,13750    22nd  AVE  NE,,Construct an SFR with attached garage and 2 DADU. Demo existing SFR.,,,
12/17/2025,006579-25PA,Building & Land Use Pre-Application,Completed,546   NE  86th  ST,Phillips Slwinski Garage,Demolish existing carport and build a new garage (mostly) in its place.,,,
12/17/2025,006589-25PA,Building & Land Use Pre-Application,Completed,5408    26TH  AVE  NE  SEATTLE,,CORRECT ALL VIOLATIONS LISTED IN NOTICE OF VIOLATIONS #1062138-VI INCLUDING A PARTIAL CHANGE OF USE IN ONE EXISTING AREA OF THE EXISTING STRUCTURE FROM STORAGE TO ASSEMBLY.,,,
12/17/2025,006586-25PA,Building & Land Use Pre-Application,Additional Info Requested,800    OCCIDENTAL  AVE  S  SEATTLE,,New 10' fence along NE side of property,,,
12/17/2025,006591-25PA,Building & Land Use Pre-Application,Completed,306    23RD  AVE  S  SEATTLE,,Exterior scope associated with 7119793-CN per plan.,,,
12/17/2025,006593-25PA,Building & Land Use Pre-Application,In Process,1312   S  ANGELINE  ST   SEATTLE,,CONSTRUCT A DETACHED ADU WITH GARAGE ACCESS 								FROM THE ALLEY,,,
12/17/2025,006594-25PA,Building & Land Use Pre-Application,In Process,6500  R   EAST MARGINAL  WAY  S  SEATTLE,E Marginal Way S Preservation Project,"***Need a ROW Address***SDOT’s E Marginal Way S Preservation Project (aka AAC E Marginal Way S) extends along E Marginal Way S from 1st Avenue S to the Tukwila border.  This section of E Marginal Way is a busy principal arterial that is part of the National Highway System (NHS), is classified as a T-2 road for freight (second highest rating by WSDOT), carries bus routes, and has bicycle lanes.  The purpose of the project is to extend the life of the existing pavement structure by 10 to 20 years.Overall, the project will include the following:•	Milling and overlaying the asphalt pavement, conducting base repairs, and sealing pavement cracks.•	Repairing and installing sidewalk, ADA curb ramps, curb bulbs, and signal loops.•	Installing a two-way buffered bike lane on the northeast side of E Marginal Way S from S River Street south to Corson Ave S•	Installing a multi-use path on the northeast side of E Marginal Way S from Corson Ave S south to the existing multi-use path that extends from the “Flume Property” south to 16th Avenue S (the Flume Property is roughly due north of Slip 4 of the Duwamish Waterway)•	Restriping the resurfaced road for traffic and rechannelizing portions of the road•	Installing street luminaires, and, at the Corson Avenue intersection, installing traffic signal strain poles.•	Removing or abandoning some inlets and catch basins and their connecting pipes and installing new inlets, catch basins and connecting pipes.•	Planting street trees.The work within the shoreline zone will generally consist of milling and overlaying the asphalt pavement, conducting base repairs, sealing pavement cracks, and installing a 35 foot wood pole to which a street luminaire and cables will be attached.",,,
12/16/2025,006563-25PA,Building & Land Use Pre-Application,In Process,4516    2ND  AVE  NW  SEATTLE,Sebastian AADU,Converting an existing basement space to AADU in an existing single family,,,
12/16/2025,006564-25PA,Building & Land Use Pre-Application,In Process,8816    38TH  AVE  SW  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEXS, WITH PARKING PER PLAN.",,,
12/16/2025,006574-25PA,Building & Land Use Pre-Application,In Process,8258    2ND  AVE  NE  SEATTLE,,Remove existing structures.  Construct four (4) new Single Family Residences with parking provided vis existing alley,,,
12/16/2025,006565-25PA,Building & Land Use Pre-Application,In Process,3924   SW  106TH  ST   SEATTLE,,CONSTRUCT (1) NEW SFR PER PLAN W/ SURFACE PARKING. EXISTING SFR TO REMAIN. FUTURE ULS.,,,
12/16/2025,006566-25PA,Building & Land Use Pre-Application,Completed,143    EUCLID  AVE   SEATTLE,Manders Foundation Repair,Installation of 9 helical piles to stabilize SFR after settling.,,,
12/16/2025,006575-25PA,Building & Land Use Pre-Application,In Process,6011    GREENWOOD  AVE  N  SEATTLE,Pedersen AADU,Convert existing heated basement into an accessory dwelling unit.,,,
12/16/2025,006570-25PA,Building & Land Use Pre-Application,Completed,220    10TH  AVE   SEATTLE,Alcove - First Hill,Convert existing interior areas to 13 residential dwelling units and revise common amenity. No ground disturbance.,,,
12/16/2025,006576-25PA,Building & Land Use Pre-Application,Additional Info Requested,9257    VIEW  AVE  NW  SEATTLE,Davis Residence Phase 3 - STFI Interior,"Construct interior alterations to existing single family dwelling, subject to field inspection.",,,
12/15/2025,006539-25PA,Building & Land Use Pre-Application,Completed,4925    CORSON  AVE  S  SEATTLE,Maple ES - AV Security Upgrades,"Install card readers and electric locks on non-egress sides of doors in institutional building (Maple ES), subject to field inspection (STFI)",,,
12/15/2025,006538-25PA,Building & Land Use Pre-Application,In Process,9629    MARY  AVE  NW  SEATTLE,,"THE PROJECT WILL BE SUBMITTED UNDER THE NEW CODE.SCOPE OF WORK: DEMOLISH THE EXISTING SINGLE-FAMILY RESIDENCE AND CONSTRUCT FIVE NEW UNITS: ONE SINGLE-FAMILY HOME WITH A GARAGE AND FOUR SURFACE PARKING SPACES.HARD SURFACE AREA: 4,999?SF",,,
12/15/2025,006529-25PA,Building & Land Use Pre-Application,Completed,6230    7th  AVE  NW,Existing Garage Demo,Demo of the existing garage,,,
12/15/2025,006533-25PA,Building & Land Use Pre-Application,Completed,11017    37TH  AVE  SW  SEATTLE,Grainger Cedar Cottage,New 2 bedroom DADU using standard plan #6800134-SP,,,
12/15/2025,006547-25PA,Building & Land Use Pre-Application,Completed,12200    STONE  AVE  N  SEATTLE,Halcyon Demo Permit Site 17,The project proposes to demolish an existing mobile home unit along with the abandonment of all existing utilities.,,,
12/15/2025,006548-25PA,Building & Land Use Pre-Application,Completed,12200    STONE  AVE  N  SEATTLE,Halcyon Demo Permit Site 18,The project proposes to demolish the mobile home unit at Site 18 at the Halcyon Mobile Home Park.,,,
12/15/2025,006549-25PA,Building & Land Use Pre-Application,Completed,12200    STONE  AVE  N  SEATTLE,Halcyon Demo Permit Site 37,The project proposes to demolish the mobile home unit at Site 37 of the Halcyon Mobile Home Park.,,,
12/15/2025,006550-25PA,Building & Land Use Pre-Application,In Process,2519   S  JUNEAU  ST,,Construct 3 SFRs and 1 open parking stall per SFR,,,
12/15/2025,006543-25PA,Building & Land Use Pre-Application,In Process,10154    RAINIER  AVE  S  SEATTLE,Iszley Residence,Replacement of existing driveway approach from Rainier Ave S. Construction of new driveway from 72nd Ave S. Construction of staircase linking two driveways and several <4' tall site retaining walls.,,,
12/15/2025,006546-25PA,Building & Land Use Pre-Application,Additional Info Requested,321    31ST  AVE  E  SEATTLE,liam staey,"I need to add a couple of circuits to light my basement better.  A solar company is changing my electrical panel, so I am taking the opportunity to change the lighting fixtures to LED ones, and also change the position of the light fixtures from a couple central ones to LED fixtures that are closer to the walls.  I will use new romex and also a new light switch.  I am also adding a separate power circuit to power a washing machine and dryer in the basement.",,,
12/15/2025,006542-25PA,Building & Land Use Pre-Application,In Process,4404   NE  50TH  ST   SEATTLE,Laurelhurst Demo,"Full demolition of an existing 3-unit residential triplex (two-story wood-frame building with basement) at 4404 NE 50th St, Seattle, WA 98105 (parcel 717370-0905) in preparation for future redevelopment into five attached rowhouses under existing approved construction permit 6693847-CN.",,,
12/15/2025,006528-25PA,Building & Land Use Pre-Application,Completed,800    Occidental  AVE  S,FIFA World Cup - 2026,"International soccer matches will occur where 48 teams from around the world will compete 2026 FIFA Club World Cup for the Champion title at Lumen Field with four matches between June 15 - June 26, 2026.",,,
12/15/2025,006537-25PA,Building & Land Use Pre-Application,Completed,1431    2ND  AVE  N  SEATTLE,Interagency at Queen Anne Gym HS - AV Security Upgrades,"Install card readers and electric locks on non-egress sides of doors in institutional building (Interagency at Queen Anne Gym HS), subject to field inspection (STFI).",,,
12/15/2025,006527-25PA,Building & Land Use Pre-Application,Completed,747    BROADWAY    SEATTLE,,"INTERIOR ALTERATION WITHIN AN EXISTING IMAGING ROOM ON LEVEL 2 OF THE SW TOWER IN THE SWEDISH MEDICAL CENTER FIRST HILL CAMPUS.  RELATED MECHANICAL AND ELECTRICAL SYSTEM ALTERATIONS ON LEVELS 2 AND 3, UNDER SEPARATE PERMIT, REQUIRED TO SUPPORT THE NEW MEDICAL IMAGING EQUIPMENT.THE WORK INCLUDES REPLACEMENT OF EXISTING IMAGING EQUIPMENT INCLUDING ANCHORING THE NEW EQUIPMENT TO EXISTING BUILDING COMPONENTS, ARCHITECTURAL FINISHES AND ASSOCIATED ELECTRICAL WORK.  THE PREVIOUS IMAGING EQUIPMENT HAS BEEN REMOVED BY THE OWNER.ENDO FLUORO EQUIPMENT REPLACEMENT",,,
12/15/2025,006534-25PA,Building & Land Use Pre-Application,Completed,11007    2nd  AVE  NW,Adams 11007 STFI:  sub alt,"Construct substantial alterations to existing one family dwelling, Subject to Field Inspection (STFI).",,,
12/15/2025,006541-25PA,Building & Land Use Pre-Application,Completed,11650    BEACON  AVE  S  SEATTLE,Rainier View ES - AV Security Upgrades,"Install card readers and electric locks on non-egress sides of doors in institutional building (Rainier View ES), subject to field inspection (STFI)",,,
12/15/2025,006530-25PA,Building & Land Use Pre-Application,Completed,9250    DAYTON  AVE  N  SEATTLE,Daniels Garage,***PLAN REVIEW REQUIRED**  Construct New Garage,,,
12/14/2025,006524-25PA,Building & Land Use Pre-Application,In Process,6216    SYCAMORE  AVE  NW  SEATTLE,"Clark, Tom",We need relief from prohibition on an area that is in a steep slope ECA. We fall under the condition that the slope has been regraded from its natural form.,,,
12/12/2025,006506-25PA,Building & Land Use Pre-Application,Completed,1312   E  OLIVE  ST   SEATTLE,,9-UNIT ULS,,,
12/12/2025,006509-25PA,Building & Land Use Pre-Application,Completed,3429    9TH  AVE  W  SEATTLE,,4-UNIT ULS,,,
12/12/2025,006514-25PA,Building & Land Use Pre-Application,Completed,4041    34TH  AVE  S  SEATTLE,New DADU,Construct (1) New DADU. No change to existing SFR under this permit.,,,
12/12/2025,006515-25PA,Building & Land Use Pre-Application,In Process,3200   SW  97TH  ST   SEATTLE,Shi Shack,BUILD A SINGLE FAMILY RESIDENCE IN THE REAR OFTHE PARCEL AND PERFORM A UNIT LOT SUBDIVISIONTO CREATE SEPARATE OWNERSHIP,,,
12/12/2025,006503-25PA,Building & Land Use Pre-Application,Completed,5727    35TH  AVE  NE,,3-UNIT ULS,,,
12/12/2025,006508-25PA,Building & Land Use Pre-Application,Completed,3433    9TH  AVE  W  SEATTLE,,4-UNIT ULS,,,
12/12/2025,006512-25PA,Building & Land Use Pre-Application,Completed,5616    38TH  AVE  SW  SEATTLE,Jampani DADUs. Seattle,"Adding two 2-story, 1,000 square foot custom DADUs on eastern portion of the property",,,
12/12/2025,006510-25PA,Building & Land Use Pre-Application,Completed,3425    9TH  AVE  W  SEATTLE,,4-UNIT ULS,,,
12/12/2025,006507-25PA,Building & Land Use Pre-Application,Completed,3528   S  FERDINAND  ST   SEATTLE,Interagency at Columbia School,"Install card readers and electric locks on non-egress sides of doors in institutional building (Interagency at Columbia), subject to field inspection (STFI)",,,
12/12/2025,006517-25PA,Building & Land Use Pre-Application,Completed,3811    48TH  AVE  NE  SEATTLE,Johnson Residence:  STFI alts,"Construct alterations to lower level and main level of existing one family dwelling, Subject to Field Inspection (STFI).",,,
12/11/2025,006497-25PA,Building & Land Use Pre-Application,In Process,11461    MARINE VIEW  DR  SW  SEATTLE,Bluff Erosion Mitigation,This property sits along the top of a bluff facing SW. The property has experienced two sloughing events which have encroached apx 7ft into the backyard. Top of bluff is now apx 23 feet away from the house and 10 ft away from the edge of back patio. Geotechnical engineer recommends installation of a soldier pile wall to protect remaining property.,,,
12/11/2025,006479-25PA,Building & Land Use Pre-Application,Completed,2649    45TH  AVE  SW  SEATTLE,,5-UNIT ULS,,,
12/11/2025,006482-25PA,Building & Land Use Pre-Application,Completed,1533   NE  94TH  ST   SEATTLE,,3-UNIT ULS,,,
12/11/2025,006489-25PA,Building & Land Use Pre-Application,Completed,815    WESTERN  AVE   SEATTLE,,Creation of flexible-use temporary surface parking and pedestrian-activatingamenities to support increased pedestrian and tourist activity along the Seattle Waterfront.,,,
12/11/2025,006494-25PA,Building & Land Use Pre-Application,Completed,6001    PHINNEY  AVE  N  SEATTLE,Sfondouris Property Repair,"This project involves repairing the storefront of the property due to damage caused by a recent vehicle impact. The work includes removing compromised materials, restoring the affected structural and exterior components, and performing like-for-like repairs to return the storefront to its original condition. No changes are being made to the building’s footprint, use, or layout. The intent is solely to restore the damaged area to a safe and compliant condition.",,,
12/11/2025,006493-25PA,Building & Land Use Pre-Application,Completed,3049    46TH  AVE  SW  SEATTLE,Arie Pytel:  Basement alts STFI,"Construct interior alterations to lower level of existing one family dwelling, Subject to Field Inspection (STFI).",,,
12/10/2025,006462-25PA,Building & Land Use Pre-Application,Completed,3706   SW  HILL  ST   SEATTLE,Lorenzo Stairs ECA EX,Proposed ECA EX approval to remove existing unpermitted stairs. Project is associated with 6971766-DM and 6715742-EX and 1041736-VI,,,
12/10/2025,006473-25PA,Building & Land Use Pre-Application,Completed,506    20TH  AVE   SEATTLE,,DEMOLISH KITCHE CABINENETS AND JUNK REMOVAL FROM BASEMENT UNITS REMOVE CARPET FOR FLOORING LVP INSTALLATION REMOVE GUTTERS AND PREPARE FOR SIDING REPLACEMET,,,
12/10/2025,006476-25PA,Building & Land Use Pre-Application,Completed,5549    34TH  AVE  NE  SEATTLE,Bracegirdle Bryant DADU,Build new DADU in rear yard adjacent to alley,,,
12/10/2025,006461-25PA,Building & Land Use Pre-Application,Completed,4428    GREENWOOD  AVE  N  SEATTLE,,Construct four residential units. Demolish existing structures.,,,
12/10/2025,006455-25PA,Building & Land Use Pre-Application,Completed,9521    12TH  AVE  NW  SEATTLE,Basement to ADU conversion,Converting existing Primary home into a duplex by converting the basement into an ADU and leaving the upstairs as the primary unit.,,,
12/10/2025,006467-25PA,Building & Land Use Pre-Application,Completed,155    23RD  AVE   SEATTLE,,4 Lot ULS,,,
12/10/2025,006453-25PA,Building & Land Use Pre-Application,In Process,9830    43RD  PL  NE  SEATTLE,Goldberg Hoss Foundation Stabilization,Retrofit and stabilization of foundation of existing single family residence.,,,
12/10/2025,006475-25PA,Building & Land Use Pre-Application,In Process,3424   E  YESLER  WAY   SEATTLE,Zajic/Oates Residence,"CONSTRUCT A NEW 3,375 SQ FT SINGLE FAMILY RESIDENCE.",,,
12/10/2025,006471-25PA,Building & Land Use Pre-Application,Completed,506    20TH  AVE   SEATTLE,Siding Windows replacement & new kitchen cabinets upper unit,"Alterations to existing duplex, subject to field inspection (STFI)",,,
12/10/2025,006465-25PA,Building & Land Use Pre-Application,Completed,3865    46TH  AVE  NE  SEATTLE,Lund Wall Plan Screening,We would like to know if the proposed repair of the retaining wall will be allowed in the ROW--the bottom retaining wall is failing and we want to replace the current wall system with a single wall about 8 feet high in the location of the existing timber wall.,,,
12/09/2025,006434-25PA,Building & Land Use Pre-Application,Completed,2721   NE  127TH  ST   SEATTLE,Freds Demolition,"Old house, homeowner is getting complaints. Demolishing the home.",,,
12/09/2025,006436-25PA,Building & Land Use Pre-Application,Completed,3870    MONTLAKE  BLVD  NE  SEATTLE,,Renovating the visitors’ locker room in Hec Ed Building,,,
12/09/2025,006429-25PA,Building & Land Use Pre-Application,Completed,733   N  78TH  ST   SEATTLE,,": DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEXES, WITH PARKING PER PLAN.",,,
12/09/2025,006449-25PA,Building & Land Use Pre-Application,Completed,13240    AURORA  AVE  N  SEATTLE,Timberline Veterinary Emergency & Specialty,Rebuild Exterior Bulk Oxygen Enclosure,,,
12/09/2025,006435-25PA,Building & Land Use Pre-Application,Additional Info Requested,11450    70TH  PL  S,BAKLINSKI SHED,SHED AT REAR OF PROPERTY,,,
12/09/2025,006428-25PA,Building & Land Use Pre-Application,Completed,7017    20TH  AVE  NW  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEX'S, WITH PARKING PER PLAN.",,,
12/09/2025,006431-25PA,Building & Land Use Pre-Application,Completed,1953    10TH  AVE  W  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT FOUR NEW SFR'S AND ONE NEW DUPLEX, WITHPARKING PER PLAN.",,,
12/09/2025,006451-25PA,Building & Land Use Pre-Application,Completed,2200   NW  67TH  ST   SEATTLE,,Remove existing structures.Construct four (4) new dwelling units with parking provided via new curb cut,,,
12/09/2025,006447-25PA,Building & Land Use Pre-Application,Completed,3011   NE  103RD  ST   SEATTLE,,3 lot unit lot subdivision,,,
